2023;Salida;Cenit;Horas de sol;;Inicio del crepúsculo astronómico;Inicio del crepúsculo náutico;Inicio del crepúsculo civil;Final del crepúsculo civil;Final del crepúsculo náutico;Final del crepúsculo astronómico
13/09/2023;07:28;13:46;20:03;12:34:56;−2:33;05:56;06:29;07:01;20:31;21:03;21:35
14/09/2023;07:29;13:46;20:02;12:32:22;−2:34;05:58;06:30;07:02;20:29;21:01;21:34
15/09/2023;07:30;13:45;20:00;12:29:48;−2:34;05:59;06:31;07:03;20:27;20:59;21:32
16/09/2023;07:31;13:45;19:58;12:27:14;−2:34;06:00;06:32;07:04;20:25;20:57;21:30
17/09/2023;07:32;13:44;19:57;12:24:39;−2:35;06:01;06:33;07:05;20:24;20:56;21:28
18/09/2023;07:33;13:44;19:55;12:22:05;−2:34;06:02;06:34;07:06;20:22;20:54;21:26
19/09/2023;07:34;13:44;19:53;12:19:30;−2:35;06:03;06:35;07:07;20:20;20:52;21:24
20/09/2023;07:35;13:43;19:52;12:16:54;−2:36;06:04;06:36;07:08;20:19;20:50;21:23
21/09/2023;07:36;13:43;19:50;12:14:20;−2:34;06:05;06:37;07:09;20:17;20:49;21:21
22/09/2023;07:37;13:43;19:48;12:11:44;−2:36;06:06;06:38;07:10;20:15;20:47;21:19
23/09/2023;07:38;13:42;19:47;12:09:10;−2:34;06:07;06:39;07:11;20:14;20:45;21:17
24/09/2023;07:39;13:42;19:45;12:06:34;−2:36;06:08;06:40;07:12;20:12;20:44;21:15
25/09/2023;07:40;13:41;19:43;12:03:59;−2:35;06:09;06:41;07:13;20:10;20:42;21:14
26/09/2023;07:40;13:41;19:42;12:01:24;−2:35;06:10;06:42;07:14;20:09;20:40;21:12
27/09/2023;07:41;13:41;19:40;11:58:49;−2:35;06:11;06:43;07:14;20:07;20:38;21:10
28/09/2023;07:42;13:40;19:39;11:56:13;−2:36;06:12;06:44;07:15;20:05;20:37;21:08
29/09/2023;07:43;13:40;19:37;11:53:37;−2:36;06:13;06:45;07:16;20:04;20:35;21:07
30/09/2023;07:44;13:40;19:35;11:51:02;−2:35;06:14;06:46;07:17;20:02;20:33;21:05
01/10/2023;07:45;13:39;19:34;11:48:27;−2:35;06:15;06:47;07:18;20:01;20:32;21:03
02/10/2023;07:46;13:39;19:32;11:45:53;−2:34;06:16;06:48;07:19;19:59;20:30;21:02
03/10/2023;07:47;13:39;19:30;11:43:17;−2:36;06:17;06:49;07:20;19:57;20:29;21:00
04/10/2023;07:48;13:38;19:29;11:40:43;−2:34;06:18;06:50;07:21;19:56;20:27;20:58
05/10/2023;07:49;13:38;19:27;11:38:09;−2:34;06:19;06:51;07:22;19:54;20:25;20:57
06/10/2023;07:50;13:38;19:26;11:35:34;−2:35;06:20;06:52;07:23;19:53;20:24;20:55
07/10/2023;07:51;13:37;19:24;11:33:00;−2:34;06:21;06:53;07:24;19:51;20:22;20:54
08/10/2023;07:52;13:37;19:22;11:30:26;−2:34;06:22;06:54;07:25;19:49;20:21;20:52
09/10/2023;07:53;13:37;19:21;11:27:52;−2:34;06:23;06:55;07:26;19:48;20:19;20:50
10/10/2023;07:54;13:37;19:19;11:25:18;−2:34;06:24;06:56;07:27;19:46;20:18;20:49
11/10/2023;07:55;13:36;19:18;11:22:46;−2:32;06:25;06:57;07:28;19:45;20:16;20:47
12/10/2023;07:56;13:36;19:16;11:20:13;−2:33;06:26;06:58;07:29;19:43;20:14;20:46
13/10/2023;07:57;13:36;19:15;11:17:40;−2:33;06:27;06:59;07:30;19:42;20:13;20:44
14/10/2023;07:58;13:36;19:13;11:15:09;−2:31;06:28;07:00;07:31;19:40;20:12;20:43
15/10/2023;07:59;13:35;19:12;11:12:37;−2:32;06:29;07:01;07:32;19:39;20:10;20:41
16/10/2023;08:00;13:35;19:10;11:10:06;−2:31;06:30;07:02;07:33;19:37;20:09;20:40
17/10/2023;08:01;13:35;19:09;11:07:35;−2:31;06:31;07:03;07:34;19:36;20:07;20:38
18/10/2023;08:02;13:35;19:07;11:05:05;−2:30;06:32;07:04;07:35;19:35;20:06;20:37
19/10/2023;08:03;13:35;19:06;11:02:36;−2:29;06:33;07:05;07:36;19:33;20:04;20:36
20/10/2023;08:04;13:34;19:04;11:00:06;−2:30;06:34;07:06;07:37;19:32;20:03;20:34
21/10/2023;08:05;13:34;19:03;10:57:38;−2:28;06:35;07:07;07:38;19:30;20:02;20:33
22/10/2023;08:06;13:34;19:02;10:55:11;−2:27;06:36;07:08;07:39;19:29;20:00;20:32
23/10/2023;08:08;13:34;19:00;10:52:44;−2:27;06:37;07:09;07:40;19:28;19:59;20:30
24/10/2023;08:09;13:34;18:59;10:50:17;−2:27;06:38;07:10;07:41;19:26;19:58;20:29
25/10/2023;08:10;13:34;18:58;10:47:52;−2:25;06:39;07:11;07:42;19:25;19:57;20:28
26/10/2023;08:11;13:34;18:56;10:45:27;−2:25;06:40;07:12;07:43;19:24;19:55;20:27
27/10/2023;08:12;13:33;18:55;10:43:02;−2:25;06:41;07:13;07:44;19:23;19:54;20:26
28/10/2023;08:13;13:33;18:54;10:40:40;−2:22;06:42;07:14;07:45;19:21;19:53;20:24
29/10/2023;08:14;13:33;18:52;10:38:17;−2:23;06:43;07:15;07:46;19:20;19:52;20:23
30/10/2023;08:15;13:33;18:51;10:35:56;−2:21;06:44;07:16;07:47;19:19;19:51;20:22
31/10/2023;08:16;13:33;18:50;10:33:36;−2:20;06:45;07:17;07:49;19:18;19:50;20:21
01/11/2023;08:18;13:33;18:49;10:31:17;−2:19;06:46;07:18;07:50;19:17;19:49;20:20
02/11/2023;08:19;13:33;18:48;10:28:59;−2:18;06:47;07:19;07:51;19:16;19:48;20:19
03/11/2023;08:20;13:33;18:47;10:26:43;−2:16;06:48;07:20;07:52;19:15;19:46;20:18
04/11/2023;08:21;13:33;18:45;10:24:27;−2:16;06:49;07:21;07:53;19:14;19:45;20:17
05/11/2023;08:22;13:33;18:44;10:22:12;−2:15;06:50;07:22;07:54;19:13;19:45;20:16
06/11/2023;08:23;13:33;18:43;10:20:00;−2:12;06:51;07:23;07:55;19:12;19:44;20:15
07/11/2023;08:24;13:33;18:42;10:17:48;−2:12;06:52;07:24;07:56;19:11;19:43;20:14
08/11/2023;08:26;13:33;18:41;10:15:39;−2:09;06:53;07:25;07:57;19:10;19:42;20:13
09/11/2023;08:27;13:33;18:40;10:13:29;−2:10;06:54;07:26;07:58;19:09;19:41;20:13
10/11/2023;08:28;13:34;18:39;10:11:23;−2:06;06:55;07:27;07:59;19:08;19:40;20:12
11/11/2023;08:29;13:34;18:38;10:09:18;−2:05;06:56;07:28;08:00;19:07;19:39;20:11
12/11/2023;08:30;13:34;18:37;10:07:14;−2:04;06:57;07:29;08:02;19:06;19:38;20:10
13/11/2023;08:31;13:34;18:37;10:05:13;−2:01;06:58;07:30;08:03;19:05;19:38;20:09
14/11/2023;08:33;13:34;18:36;10:03:12;−2:01;06:59;07:31;08:04;19:04;19:37;20:09
15/11/2023;08:34;13:34;18:35;10:01:14;−1:58;07:00;07:32;08:05;19:04;19:36;20:08
16/11/2023;08:35;13:34;18:34;09:59:18;−1:56;07:01;07:33;08:06;19:03;19:36;20:08
17/11/2023;08:36;13:35;18:33;09:57:25;−1:53;07:02;07:34;08:07;19:02;19:35;20:07
18/11/2023;08:37;13:35;18:33;09:55:33;−1:52;07:03;07:35;08:08;19:02;19:34;20:06
19/11/2023;08:38;13:35;18:32;09:53:43;−1:50;07:04;07:36;08:09;19:01;19:34;20:06
20/11/2023;08:39;13:35;18:31;09:51:55;−1:48;07:05;07:37;08:10;19:00;19:33;20:05
21/11/2023;08:40;13:36;18:31;09:50:11;−1:44;07:06;07:38;08:11;19:00;19:33;20:05
22/11/2023;08:42;13:36;18:30;09:48:28;−1:43;07:07;07:39;08:12;18:59;19:32;20:04
23/11/2023;08:43;13:36;18:29;09:46:47;−1:41;07:08;07:40;08:13;18:59;19:32;20:04
24/11/2023;08:44;13:36;18:29;09:45:10;−1:37;07:09;07:41;08:14;18:58;19:31;20:04
25/11/2023;08:45;13:37;18:28;09:43:35;−1:35;07:10;07:42;08:15;18:58;19:31;20:03
26/11/2023;08:46;13:37;18:28;09:42:02;−1:33;07:11;07:43;08:16;18:58;19:31;20:03
27/11/2023;08:47;13:37;18:28;09:40:33;−1:29;07:12;07:44;08:17;18:57;19:30;20:03
28/11/2023;08:48;13:38;18:27;09:39:06;−1:27;07:13;07:45;08:18;18:57;19:30;20:02
29/11/2023;08:49;13:38;18:27;09:37:42;−1:24;07:14;07:46;08:19;18:57;19:30;20:02
30/11/2023;08:50;13:38;18:27;09:36:22;−1:20;07:15;07:47;08:20;18:56;19:30;20:02
01/12/2023;08:51;13:39;18:26;09:35:03;−1:19;07:15;07:48;08:21;18:56;19:29;20:02
02/12/2023;08:52;13:39;18:26;09:33:48;−1:15;07:16;07:49;08:22;18:56;19:29;20:02
03/12/2023;08:53;13:39;18:26;09:32:37;−1:11;07:17;07:50;08:23;18:56;19:29;20:02
04/12/2023;08:54;13:40;18:26;09:31:29;−1:08;07:18;07:51;08:24;18:56;19:29;20:02
05/12/2023;08:55;13:40;18:25;09:30:23;−1:06;07:19;07:51;08:25;18:55;19:29;20:02
06/12/2023;08:56;13:41;18:25;09:29:22;−1:01;07:20;07:52;08:26;18:55;19:29;20:02
07/12/2023;08:57;13:41;18:25;09:28:24;−0:58;07:20;07:53;08:27;18:55;19:29;20:02
08/12/2023;08:58;13:41;18:25;09:27:29;−0:55;07:21;07:54;08:28;18:55;19:29;20:02
09/12/2023;08:59;13:42;18:25;09:26:38;−0:51;07:22;07:55;08:28;18:55;19:29;20:02
10/12/2023;08:59;13:42;18:25;09:25:49;−0:49;07:23;07:55;08:29;18:56;19:29;20:02
11/12/2023;09:00;13:43;18:25;09:25:06;−0:43;07:23;07:56;08:30;18:56;19:29;20:02
12/12/2023;09:01;13:43;18:25;09:24:25;−0:41;07:24;07:57;08:31;18:56;19:30;20:02
13/12/2023;09:02;13:44;18:26;09:23:48;−0:37;07:25;07:58;08:31;18:56;19:30;20:03
14/12/2023;09:03;13:44;18:26;09:23:15;−0:33;07:26;07:58;08:32;18:56;19:30;20:03
15/12/2023;09:03;13:45;18:26;09:22:46;−0:29;07:26;07:59;08:33;18:56;19:30;20:03
16/12/2023;09:04;13:45;18:26;09:22:21;−0:25;07:27;08:00;08:34;18:57;19:31;20:03
17/12/2023;09:05;13:46;18:27;09:21:59;−0:22;07:27;08:00;08:34;18:57;19:31;20:04
18/12/2023;09:05;13:46;18:27;09:21:41;−0:18;07:28;08:01;08:35;18:57;19:31;20:04
19/12/2023;09:06;13:47;18:27;09:21:28;−0:13;07:29;08:01;08:35;18:58;19:32;20:04
20/12/2023;09:06;13:47;18:28;09:21:17;−0:11;07:29;08:02;08:36;18:58;19:32;20:05
21/12/2023;09:07;13:47;18:28;09:21:11;−0:06;07:30;08:03;08:36;18:59;19:32;20:05
22/12/2023;09:07;13:48;18:29;09:21:09;−0:02;07:30;08:03;08:37;18:59;19:33;20:06
23/12/2023;09:08;13:48;18:29;09:21:11;+0:02;07:31;08:03;08:37;18:59;19:33;20:06
24/12/2023;09:08;13:49;18:30;09:21:16;+0:05;07:31;08:04;08:38;19:00;19:34;20:07
25/12/2023;09:09;13:49;18:30;09:21:26;+0:10;07:31;08:04;08:38;19:01;19:34;20:07
26/12/2023;09:09;13:50;18:31;09:21:40;+0:14;07:32;08:05;08:39;19:01;19:35;20:08
27/12/2023;09:09;13:50;18:31;09:21:57;+0:17;07:32;08:05;08:39;19:02;19:36;20:08
28/12/2023;09:10;13:51;18:32;09:22:18;+0:21;07:33;08:05;08:39;19:02;19:36;20:09
29/12/2023;09:10;13:51;18:33;09:22:43;+0:25;07:33;08:06;08:40;19:03;19:37;20:10
30/12/2023;09:10;13:52;18:33;09:23:12;+0:29;07:33;08:06;08:40;19:04;19:38;20:10
31/12/2023;09:10;13:52;18:34;09:23:46;+0:34;07:33;08:06;08:40;19:04;19:38;20:11
